product_id,product_name,brand,price,initial_price,discount,review_count,rating,category_name,root_category_name,available_for_delivery,available_for_pickup,source_product_id,source
PROD_98b1b50f1f,Woman Within Women's Plus Size Perfect Long-Sleeve Henley Tee,Woman Within,20.0,23.72,3.77,1127,4.3,Plus Size Tshirts,Clothing,True,False,890933549,walmart
PROD_7190d20b91,"NELEUS Men's Workout Athletic Pants Running Sweatpants With Pockets Relaxed Fit,Black+Gray,US Size L",NELEUS,33.0,60.0,27.02,93,4.7,Mens Workout Pants,Clothing,True,False,3599349614,walmart
PROD_7f4def3062,DreamFish Womens Nightgown Short Sleeve Sleepshirt V Neck Sleepwear Casual Loungewear Ladies Sleepwear,DreamFish,17.0,29.99,13.0,186,4.8,Womens Nightshirts & Gowns,Clothing,True,False,5055455726,walmart
PROD_a05c360226,Bruno Marc Mens Classic Oxfords Shoes Fashion Casual Leather Shoes for Men Lace Up Comfort Oxford Shoes Lg19008M Tan Size 12,Bruno Marc,36.0,39.99,4.0,177,4.8,Mens Oxfords Shoes,Clothing,True,False,460164326,walmart
PROD_81d1586daa,Amay Rod Pocket Curtain Panel Baby Pink 120 Inch Wide by 132 Inch Long-1 Panel,Amay's,155.0,194.0,38.8,2,5.0,Shop Curtains,Home,True,False,2783711895,walmart
PROD_e9cb259663,"Amay 800TC Organic Cotton Emperor Size Fitted Sheet ( 84X84 ) Fits Mattress Upto 10-12 inches, Chocolate Solid",Amay's,55.8,62.0,6.2,2,5.0,Cooling Sheets,Home,True,False,3250236923,walmart
PROD_ff5d80a11b,Vionic Womens Alvana Leather Thong Slide Sandals,Vionic,67.0,100.99,34.0,103,2.9,Womens Slides,Clothing,True,False,2417910874,walmart
PROD_19a541ec7f,Ryka Womens Viv Snake Print Lifestyle Fashion Sneakers,Ryka,29.0,36.99,8.0,2195,4.4,Womens Casual Shoes,Clothing,True,False,5326305256,walmart
PROD_1a6d19f674,Giani Bernini Womens Velma Faux Leather Memory Foam Mary Jane Heels,Giani Bernini,34.0,49.8,15.81,1,5.0,High Heels,Clothing,True,False,855837951,walmart
PROD_4d2c9f9acb,"Exclusivo Mezcla Orthopedic Pet Bed for Small Dogs 20''X15'', Egg Crate Foam Small Dog Beds with Removable Washable Cover,Waterproof Pet Bed Mat, Navy Blue",Exclusivo Mezcla,20.0,59.99,40.0,115,4.5,Orthopedic Dog Beds,Pets,True,False,5172205930,walmart
PROD_c2d71a3751,Cuisinart Smokey Maple Bacon Seasoning,Cuisinart,3.97,23.26375,6.07625,3,4.3,Seasoning mixes & blends,Food,False,True,5464020385,walmart
PROD_43f22584ea,CPOKRTWSO Women's Plus Size Tops 3/4 Sleeve Shirts Dressy Casual V Neck Tunic Blouse (M-4XL),CPOKRTWSO,11.5,30.32,18.83,380,4.4,Womens Workwear Blouses,Clothing,True,False,1786660054,walmart
PROD_692f2c51c8,SUN STONE Womens Brown Ring Hardware Non-Slip Breathable Square Toe Stacked Heel Zip-Up Leather Booties 6.5,Sunstone Metal Products,57.0,119.5,62.52,2,5.0,Womens Booties,Clothing,True,False,538579916,walmart
PROD_2bd6cfba52,IBTOM CASTLE Flowers Girls Tulle Lace Dress for Kids Wedding Bridesmaid Pageant Birthday Party Communion Formal Princess Prom Maxi Gown 3-4 Years Dark Blue,Ibtom Castle,33.0,40.99,8.0,24,4.5,Girls Dresses,Clothing,True,False,5187951341,walmart
PROD_38c6d1f743,Men's Batman Joker Text Logo  Graphic Tee Royal Blue Heather 2X Large,Batman,16.0,18.99,3.0,1,5.0,Mens Graphic Tees,Clothing,True,False,942432062,walmart
PROD_80308c5df0,PatPat Toddler Girls One Piece Swimsuits Cute Tropical Swimwear Family Matching Bathing Suit Sizes 2-9,PatPat,9.99,58.48,48.49,37,4.4,Baby Girls Swimsuit Cover-ups,Clothing,True,False,5383710772,walmart
